N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.8225 10.0 0.825 1.0 0.8111111111111111 1.0 0.785 0.9 0.975 0.7825 0.34500000000000003 1.0 0.05220153254455275 0.75 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.8 0.82 10.0 0.8225 1.0 0.8111111111111111 1.0 0.7825 0.85 0.975 0.78 0.34500000000000003 1.0 0.05220153254455275 0.75 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.5 0.565 10.0 0.6 1.0 0.8111111111111111 1.0 0.5925 0.65 0.975 0.555 0.34500000000000003 1.0 0.05220153254455275 0.5 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.5 0.54 10.0 0.57 1.0 0.8111111111111111 1.0 0.5625 0.5 0.975 0.53 0.34500000000000003 1.0 0.05220153254455275 0.5 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.5 0.4575 10.0 0.5025 1.0 0.8111111111111111 1.0 0.495 0.45 0.975 0.4475 0.34500000000000003 1.0 0.05220153254455275 0.5 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.5 0.455 10.0 0.5 1.0 0.8111111111111111 1.0 0.4925 0.4 0.975 0.445 0.34500000000000003 1.0 0.05220153254455275 0.5 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.45 0.4075 10.0 0.43 1.0 0.8111111111111111 1.0 0.4175 0.25 0.975 0.39 0.34500000000000003 1.0 0.05220153254455275 0.4 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.45 0.325 10.0 0.3425 1.0 0.8111111111111111 1.0 0.33 0.15 0.975 0.3075 0.34500000000000003 1.0 0.05220153254455275 0.4 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.2 0.1075 10.0 0.12 1.0 0.8111111111111111 1.0 0.12 0.05 0.975 0.1075 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.2 0.1075 10.0 0.12 1.0 0.8111111111111111 1.0 0.12 0.05 0.975 0.1075 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.45 0.305 10.0 0.3425 1.0 0.8111111111111111 1.0 0.33 0.15 0.975 0.2875 0.34500000000000003 1.0 0.05220153254455275 0.4 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.1975 10.0 0.2075 1.0 0.8111111111111111 1.0 0.195 0.05 0.975 0.18 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.0 1.0 0.8111111111111111 1.0 0.0 0.0 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.1975 10.0 0.2075 1.0 0.8111111111111111 1.0 0.195 0.05 0.975 0.18 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.3 0.2925 10.0 0.3025 1.0 0.8111111111111111 1.0 0.295 0.1 0.975 0.2825 0.34500000000000003 1.0 0.05220153254455275 0.3 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.1575 10.0 0.1575 1.0 0.8111111111111111 1.0 0.1475 0.05 0.975 0.145 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.45 0.26 10.0 0.295 1.0 0.8111111111111111 1.0 0.285 0.15 0.975 0.2475 0.34500000000000003 1.0 0.05220153254455275 0.4 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.1575 10.0 0.1775 1.0 0.8111111111111111 1.0 0.1675 0.1 0.975 0.145 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.155 10.0 0.175 1.0 0.8111111111111111 1.0 0.165 0.1 0.975 0.1425 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.155 10.0 0.175 1.0 0.8111111111111111 1.0 0.165 0.1 0.975 0.1425 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.155 10.0 0.175 1.0 0.8111111111111111 1.0 0.165 0.1 0.975 0.1425 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.25 0.155 10.0 0.1825 1.0 0.8111111111111111 1.0 0.1725 0.15 0.975 0.1425 0.34500000000000003 1.0 0.05220153254455275 0.2 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.3 0.3275 10.0 0.355 1.0 0.8111111111111111 1.0 0.3475 0.2 0.975 0.3175 0.34500000000000003 1.0 0.05220153254455275 0.3 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.5 0.435 10.0 0.475 1.0 0.8111111111111111 1.0 0.4675 0.25 0.975 0.425 0.34500000000000003 1.0 0.05220153254455275 0.5 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.5 0.435 10.0 0.455 1.0 0.8111111111111111 1.0 0.4475 0.2 0.975 0.425 0.34500000000000003 1.0 0.05220153254455275 0.5 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.5 0.435 10.0 0.475 1.0 0.8111111111111111 1.0 0.4675 0.25 0.975 0.425 0.34500000000000003 1.0 0.05220153254455275 0.5 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.45 0.335 10.0 0.3825 1.0 0.8111111111111111 1.0 0.37 0.3 0.975 0.3175 0.34500000000000003 1.0 0.05220153254455275 0.4 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.45 0.335 10.0 0.3825 1.0 0.8111111111111111 1.0 0.37 0.3 0.975 0.3175 0.34500000000000003 1.0 0.05220153254455275 0.4 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.45 0.3325 10.0 0.38 1.0 0.8111111111111111 1.0 0.3675 0.25 0.975 0.315 0.34500000000000003 1.0 0.05220153254455275 0.4 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
400.0 0.0936238863686262 1.0 0.5 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.02 1.0 0.8111111111111111 1.0 0.02 0.05 0.975 0.0 0.34500000000000003 1.0 0.05220153254455275 0.0 20.0 10.0
