,L,H,a,b,n,p,inputs_fraction,outputs_fraction_hlt,outputs_fraction_dis,switch_upp,Trajectory_Class
1,20.0,20.0,0.0,0.25,10.0,1.0,0.10785,0.6043000000000001,0.5614,0.1,ABCD
2,20.0,20.0,0.0,0.25,10.0,1.0,0.115,0.6046,0.5603,0.1,ABD
3,20.0,20.0,0.0,0.25,10.0,1.0,0.10955000000000001,0.5908,0.5794,0.1,ABCD
4,20.0,20.0,0.0,0.25,10.0,1.0,0.1123,0.67025,0.50605,0.1,BD
5,20.0,20.0,0.0,0.25,10.0,1.0,0.1121,0.58525,0.5098,0.1,ABD
6,20.0,20.0,0.0,0.25,10.0,1.0,0.1097,0.5669,0.48385,0.1,ABD
7,20.0,20.0,0.0,0.25,10.0,1.0,0.09955,0.606,0.5944,0.1,ABCD
8,20.0,20.0,0.0,0.25,10.0,1.0,0.08995,0.5262,0.5055000000000001,0.1,ABCD
9,20.0,20.0,0.0,0.25,10.0,1.0,0.1045,0.6634,0.61995,0.1,ABD
10,20.0,20.0,0.0,0.25,10.0,1.0,0.09685,0.5344,0.4866,0.1,ABD
11,20.0,20.0,0.0,0.25,10.0,1.0,0.11795,0.6138,0.5618,0.1,ABD
12,20.0,20.0,0.0,0.25,10.0,1.0,0.10300000000000001,0.5519,0.5122,0.1,ABCD
13,20.0,20.0,0.0,0.25,10.0,1.0,0.09545000000000001,0.6519,0.6279,0.1,ABD
14,20.0,20.0,0.0,0.25,10.0,1.0,0.10665000000000001,0.6424,0.59645,0.1,ABD
15,20.0,20.0,0.0,0.25,10.0,1.0,0.0924,0.57775,0.56895,0.1,ABD
16,20.0,20.0,0.0,0.25,10.0,1.0,0.1162,0.5557,0.507,0.1,ABD
17,20.0,20.0,0.0,0.25,10.0,1.0,0.10675,0.61205,0.4679,0.1,ABCD
18,20.0,20.0,0.0,0.25,10.0,1.0,0.1021,0.60305,0.4907,0.1,ABD
19,20.0,20.0,0.0,0.25,10.0,1.0,0.10225000000000001,0.5876,0.45645,0.1,ABD
20,20.0,20.0,0.0,0.25,10.0,1.0,0.10085,0.60615,0.55155,0.1,ABD
21,20.0,20.0,0.0,0.25,10.0,1.0,0.101,0.61625,0.557,0.1,ABCD
22,20.0,20.0,0.0,0.25,10.0,1.0,0.1058,0.63995,0.63815,0.1,ABD
23,20.0,20.0,0.0,0.25,10.0,1.0,0.09815,0.47635,0.44705,0.1,ABCD
24,20.0,20.0,0.0,0.25,10.0,1.0,0.1041,0.6019,0.5152,0.1,ABD
25,20.0,20.0,0.0,0.25,10.0,1.0,0.10455,0.57595,0.50015,0.1,ABCD
26,20.0,20.0,0.0,0.25,10.0,1.0,0.0963,0.51225,0.4665,0.1,ABCD
27,20.0,20.0,0.0,0.25,10.0,1.0,0.10655,0.57905,0.52415,0.1,ABCD
28,20.0,20.0,0.0,0.25,10.0,1.0,0.10495,0.541,0.48955,0.1,ABD
29,20.0,20.0,0.0,0.25,10.0,1.0,0.08355,0.45815,0.414,0.1,ABCD
30,20.0,20.0,0.0,0.25,10.0,1.0,0.1053,0.63115,0.5625,0.1,ABCD
31,20.0,20.0,0.0,0.25,10.0,1.0,0.11445,0.604,0.5456,0.1,ABD
32,20.0,20.0,0.0,0.25,10.0,1.0,0.10695,0.62395,0.51235,0.1,ABD
33,20.0,20.0,0.0,0.25,10.0,1.0,0.1069,0.6006,0.5426,0.1,ABCD
34,20.0,20.0,0.0,0.25,10.0,1.0,0.10295,0.53655,0.50445,0.1,ABCD
35,20.0,20.0,0.0,0.25,10.0,1.0,0.0953,0.6061,0.5838,0.1,ABD
36,20.0,20.0,0.0,0.25,10.0,1.0,0.10355,0.6115,0.5826,0.1,ABCD
37,20.0,20.0,0.0,0.25,10.0,1.0,0.1016,0.5396,0.5007,0.1,ABD
38,20.0,20.0,0.0,0.25,10.0,1.0,0.11155,0.65855,0.57965,0.1,ABD
39,20.0,20.0,0.0,0.25,10.0,1.0,0.1008,0.5443,0.4894,0.1,ABD
40,20.0,20.0,0.0,0.25,10.0,1.0,0.1018,0.58985,0.5514,0.1,ABCD
41,20.0,20.0,0.0,0.25,10.0,1.0,0.10575,0.5878,0.4841,0.1,ABCD
42,20.0,20.0,0.0,0.25,10.0,1.0,0.08800000000000001,0.52235,0.469,0.1,ABD
43,20.0,20.0,0.0,0.25,10.0,1.0,0.106,0.57375,0.4206,0.1,ABCD
44,20.0,20.0,0.0,0.25,10.0,1.0,0.1007,0.5758,0.5633,0.1,ABCD
45,20.0,20.0,0.0,0.25,10.0,1.0,0.11385,0.674,0.6438,0.1,ABD
46,20.0,20.0,0.0,0.25,10.0,1.0,0.09335,0.5257,0.46125,0.1,ABCD
47,20.0,20.0,0.0,0.25,10.0,1.0,0.0992,0.5335,0.4647,0.1,ABCD
48,20.0,20.0,0.0,0.25,10.0,1.0,0.1028,0.607,0.59435,0.1,ABD
49,20.0,20.0,0.0,0.25,10.0,1.0,0.09855,0.59815,0.4881,0.1,ABD
50,20.0,20.0,0.0,0.25,10.0,1.0,0.1045,0.6179,0.5670000000000001,0.1,ABD
51,20.0,20.0,0.0,0.25,10.0,1.0,0.1023,0.62325,0.53545,0.1,ABCD
52,20.0,20.0,0.0,0.25,10.0,1.0,0.10400000000000001,0.5509000000000001,0.47535,0.1,ABD
53,20.0,20.0,0.0,0.25,10.0,1.0,0.10755,0.63205,0.5863,0.1,ABD
54,20.0,20.0,0.0,0.25,10.0,1.0,0.1075,0.63725,0.55865,0.1,ABD
55,20.0,20.0,0.0,0.25,10.0,1.0,0.10885,0.63225,0.58525,0.1,ABD
56,20.0,20.0,0.0,0.25,10.0,1.0,0.09175,0.55365,0.5386,0.1,ABD
57,20.0,20.0,0.0,0.25,10.0,1.0,0.09895,0.5404,0.4916,0.1,ABCD
58,20.0,20.0,0.0,0.25,10.0,1.0,0.08855,0.50005,0.39945,0.1,ABD
59,20.0,20.0,0.0,0.25,10.0,1.0,0.0931,0.509,0.48795,0.1,ABD
60,20.0,20.0,0.0,0.25,10.0,1.0,0.10590000000000001,0.5515,0.54925,0.1,ABD
61,20.0,20.0,0.0,0.25,10.0,1.0,0.1046,0.6155,0.57075,0.1,ABCD
62,20.0,20.0,0.0,0.25,10.0,1.0,0.1028,0.59315,0.56425,0.1,ABCD
63,20.0,20.0,0.0,0.25,10.0,1.0,0.1101,0.56325,0.51375,0.1,ABCD
64,20.0,20.0,0.0,0.25,10.0,1.0,0.1118,0.655,0.5689,0.1,ABD
65,20.0,20.0,0.0,0.25,10.0,1.0,0.104,0.5846,0.54745,0.1,ABCD
66,20.0,20.0,0.0,0.25,10.0,1.0,0.09860000000000001,0.5874,0.55185,0.1,ABCD
67,20.0,20.0,0.0,0.25,10.0,1.0,0.0992,0.5547,0.51865,0.1,ABCD
68,20.0,20.0,0.0,0.25,10.0,1.0,0.09725,0.50595,0.46625,0.1,ABCD
69,20.0,20.0,0.0,0.25,10.0,1.0,0.1186,0.66815,0.53415,0.1,ABD
70,20.0,20.0,0.0,0.25,10.0,1.0,0.10640000000000001,0.63535,0.5821,0.1,ABD
71,20.0,20.0,0.0,0.25,10.0,1.0,0.09860000000000001,0.5877,0.56485,0.1,ABD
72,20.0,20.0,0.0,0.25,10.0,1.0,0.10590000000000001,0.6022,0.55415,0.1,ABD
73,20.0,20.0,0.0,0.25,10.0,1.0,0.09795000000000001,0.60825,0.5595,0.1,ABCD
74,20.0,20.0,0.0,0.25,10.0,1.0,0.10605,0.6357,0.6237,0.1,ABCD
75,20.0,20.0,0.0,0.25,10.0,1.0,0.10875,0.61495,0.52445,0.1,ABD
76,20.0,20.0,0.0,0.25,10.0,1.0,0.09935000000000001,0.5529,0.5356,0.1,ABCD
77,20.0,20.0,0.0,0.25,10.0,1.0,0.097,0.5783,0.5428499999999999,0.1,ABCD
